-24.89994997 -0.00046666 -0.00000865 	-24.89994997 -0.00030202 -0.00000449	-24.89994997 -0.00044192 -0.00000702 	-24.89994997 -0.00136578 -0.00002376 
-24.87493747 -0.00046739 -0.00000868 	-24.87493747 -0.00030241 -0.00000452	-24.87493747 -0.00044252 -0.00000706 	-24.87493747 -0.00136776 -0.00002384 
-24.84992496 -0.00046810 -0.00000870 	-24.84992496 -0.00030280 -0.00000453	-24.84992496 -0.00044312 -0.00000708 	-24.84992496 -0.00136974 -0.00002390 
-24.82491246 -0.00046884 -0.00000873 	-24.82491246 -0.00030317 -0.00000455	-24.82491246 -0.00044370 -0.00000710 	-24.82491246 -0.00137174 -0.00002396 
-24.79989995 -0.00046956 -0.00000876 	-24.79989995 -0.00030353 -0.00000453	-24.79989995 -0.00044428 -0.00000710 	-24.79989995 -0.00137374 -0.00002404 
-24.77488744 -0.00047029 -0.00000877 	-24.77488744 -0.00030392 -0.00000455	-24.77488744 -0.00044488 -0.00000712 	-24.77488744 -0.00137576 -0.00002410 
-24.74987494 -0.00047102 -0.00000880 	-24.74987494 -0.00030430 -0.00000456	-24.74987494 -0.00044548 -0.00000714 	-24.74987494 -0.00137776 -0.00002416 
-24.72486243 -0.00047176 -0.00000882 	-24.72486243 -0.00030469 -0.00000458	-24.72486243 -0.00044608 -0.00000716 	-24.72486243 -0.00137978 -0.00002422 
-24.69984992 -0.00047251 -0.00000885 	-24.69984992 -0.00030505 -0.00000459	-24.69984992 -0.00044666 -0.00000718 	-24.69984992 -0.00138178 -0.00002428 
-24.67483742 -0.00047323 -0.00000887 	-24.67483742 -0.00030546 -0.00000462	-24.67483742 -0.00044728 -0.00000722 	-24.67483742 -0.00138382 -0.00002436 
-24.64982491 -0.00047398 -0.00000890 	-24.64982491 -0.00030584 -0.00000462	-24.64982491 -0.00044788 -0.00000722 	-24.64982491 -0.00138586 -0.00002442 
-24.62481241 -0.00047471 -0.00000892 	-24.62481241 -0.00030622 -0.00000463	-24.62481241 -0.00044848 -0.00000724 	-24.62481241 -0.00138790 -0.00002450 
-24.59979990 -0.00047546 -0.00000895 	-24.59979990 -0.00030661 -0.00000464	-24.59979990 -0.00044908 -0.00000726 	-24.59979990 -0.00138994 -0.00002456 
-24.57478739 -0.00047622 -0.00000898 	-24.57478739 -0.00030698 -0.00000465	-24.57478739 -0.00044968 -0.00000728 	-24.57478739 -0.00139200 -0.00002464 
